time_min,mean_ch_tenure_s,mean_recluster_events,mean_nre
1,107.33,1.47,79
2,107.69,1.47,79
3,108.10,1.47,79
4,108.48,1.47,79
5,108.89,1.47,79
6,109.27,1.47,79
7,109.64,1.47,79
8,110.05,1.47,79
9,110.43,1.47,79
10,110.84,1.47,79
11,111.22,1.47,79
12,111.62,1.47,79
13,112.00,1.47,79
14,112.38,1.47,79
15,112.79,1.47,79
16,113.17,1.47,79
17,113.57,1.47,79
18,113.95,1.47,79
19,114.36,1.47,79
20,114.74,1.47,79
21,115.12,1.47,79
22,115.52,1.47,79
23,115.90,1.47,79
24,116.31,1.47,79
25,116.69,1.47,79
26,117.10,1.47,79
27,117.47,1.47,79
28,117.85,1.47,79
29,118.26,1.47,79
30,118.64,1.47,79
31,119.05,1.47,79
32,119.42,1.47,79
33,119.83,1.47,79
34,120.21,1.47,79
35,120.59,1.47,79
36,121.00,1.47,79
37,121.37,1.47,79
38,121.78,1.47,79
39,122.16,1.47,79
40,122.57,1.47,79
41,122.95,1.47,78
42,123.32,1.47,79
43,123.73,1.47,79
44,124.11,1.47,79
45,124.52,1.47,79
46,124.90,1.47,79
47,125.30,1.47,79
48,125.68,1.47,79
49,126.06,1.47,79
50,126.47,1.47,79
51,126.85,1.47,79
52,127.25,1.47,79
53,127.63,1.47,79
54,128.04,1.47,79
55,128.42,1.47,79
56,128.80,1.47,79
57,129.20,1.47,79
58,129.58,1.47,79
59,129.99,1.47,79
60,130.37,1.47,79
61,130.77,1.47,79
62,131.15,1.47,79
63,131.53,1.47,79
64,131.94,1.47,79
65,132.32,1.47,79
66,132.72,1.47,79
67,133.10,1.47,79
68,133.51,1.47,79
69,133.89,1.47,79
70,134.27,1.47,79
71,134.67,1.47,79
72,135.05,1.47,79
73,135.46,1.47,79
74,135.84,1.47,79
75,136.25,1.47,79
76,136.63,1.47,79
77,137.00,1.47,79
78,137.41,1.47,79
79,137.79,1.47,79
80,138.20,1.47,79
81,138.58,1.47,79
82,138.98,1.47,78
83,139.36,1.47,78
84,139.74,1.47,79
85,140.15,1.47,79
86,140.53,1.47,79
87,140.93,1.47,79
88,141.31,1.47,79
89,141.72,1.47,79
90,142.10,1.47,79
91,142.48,1.47,79
92,142.88,1.47,79
93,143.26,1.47,79
94,143.67,1.47,79
95,144.05,1.47,79
96,144.45,1.47,79
97,144.83,1.47,79
98,145.21,1.47,79
99,145.62,1.47,79
100,146.00,1.47,79
101,146.40,1.47,79
102,146.78,1.47,79
103,147.19,1.47,79
104,147.57,1.47,79
105,147.95,1.47,79
106,148.35,1.47,79
107,148.73,1.47,79
108,149.14,1.47,79
109,149.52,1.47,79
110,149.93,1.47,79
111,150.30,1.47,79
112,150.68,1.47,79
113,151.09,1.47,79
114,151.47,1.47,79
115,151.88,1.47,79
116,152.25,1.47,79
117,152.66,1.47,79
118,153.04,1.47,79
119,153.42,1.47,79
120,153.83,1.47,79
121,154.20,1.47,79
122,154.61,1.47,79
123,154.99,1.47,79
124,155.40,1.47,79
125,155.78,1.47,79
126,156.15,1.47,79
127,156.56,1.47,79
128,156.94,1.47,79
129,157.35,1.47,79
130,157.73,1.47,79
131,158.13,1.47,79
132,158.51,1.47,79
133,158.89,1.47,79
134,159.30,1.47,79
135,159.68,1.47,79
136,160.08,1.47,79
137,160.46,1.47,79
138,160.87,1.47,79
139,161.25,1.47,79
140,161.63,1.47,79
141,162.03,1.47,79
142,162.41,1.47,79
143,162.82,1.47,79
144,163.20,1.47,79
145,163.61,1.47,79
146,163.98,1.47,79
147,164.36,1.47,79
148,164.77,1.47,79
149,165.15,1.47,79
150,165.56,1.47,79
151,165.93,1.47,79
152,166.34,1.47,79
153,166.72,1.47,79
154,167.10,1.47,79
155,167.51,1.47,79
156,167.88,1.47,79
157,168.29,1.47,79
158,168.67,1.47,79
159,169.08,1.47,79
160,169.46,1.47,79
161,169.83,1.47,79
162,170.24,1.47,79
163,170.62,1.47,79
164,171.03,1.47,79
165,171.41,1.47,79
166,171.81,1.47,79
167,172.19,1.47,79
168,172.57,1.47,79
169,172.98,1.47,79
170,173.36,1.47,79
171,173.76,1.47,79
172,174.14,1.47,79
173,174.55,1.47,79
174,174.93,1.47,79
175,175.31,1.47,79
176,175.71,1.47,79
177,176.09,1.47,79
178,176.50,1.47,78
179,176.88,1.47,79
